Structure type,Structure title,Operation,Status,Details,Source structure URL,Destination structure URL,Source structure ID,Destination structure ID,Time stamp
"Feature","AssetLibrary","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","4bcccd62-dcaf-46dc-a7d4-e38277ef33f4","","2018-10-26 16:59:36"
"Feature","ReviewWorkflows","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","02464c6a-9d07-4f30-ba04-e9035cf54392","","2018-10-26 16:59:37"
"Feature","TaxonomyFieldAdded","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","73ef14b1-13a9-416b-a9b5-ececa2b0604c","",""
"Feature","SearchExtensions","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","5eac763d-fbf5-4d6f-a76b-eded7dd7b0a5","","2018-10-26 16:59:37"
"Feature","TranslationWorkflow","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","c6561405-ea03-40a9-a57f-f25472942a22","","2018-10-26 16:59:37"
"Feature","SearchTemplatesandResources","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","8b2c6bcb-c47f-4f17-8127-f8eae47a44dd","","2018-10-26 16:59:38"
"Feature","DocumentSet","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","3bae86a2-776d-499d-9db8-fa4cdc7884f8","","2018-10-26 16:59:39"
"Feature","Reporting","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","7094bd89-2cfe-490a-8c7e-fbace37b4a34","","2018-10-26 16:59:39"
"Site collection","","Created","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","4bb24692-3e04-4db5-8ac9-03231e29f205","703611f9-8f95-48e0-95fb-9465a877daa3","2018-10-26 16:59:39"
"Regional settings","","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","","","2018-10-26 17:03:12"
