Source,Destination,Item name,Extension,Item size,Content type,Status,Result category,Message,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_rate_good.gif","/phpBB3/styles/Relief/imageset/icon_rate_good.gif","icon_rate_good.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","57628659-3a29-5653-8e2c-83ddd6661109","57628659-3a29-5653-8e2c-83ddd6661109","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_topic_attach.gif","/phpBB3/styles/Relief/imageset/icon_topic_attach.gif","icon_topic_attach.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","7b8985b8-778f-573b-8057-26ac75cb8a47","7b8985b8-778f-573b-8057-26ac75cb8a47","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_topic_latest.gif","/phpBB3/styles/Relief/imageset/icon_topic_latest.gif","icon_topic_latest.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","5f29b227-9dfd-593f-b7a5-ab0dde3f5cdb","5f29b227-9dfd-593f-b7a5-ab0dde3f5cdb","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_topic_newest.gif","/phpBB3/styles/Relief/imageset/icon_topic_newest.gif","icon_topic_newest.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","78d4bec5-c799-5310-9839-07dcf8e9fb99","78d4bec5-c799-5310-9839-07dcf8e9fb99","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_topic_reported.gif","/phpBB3/styles/Relief/imageset/icon_topic_reported.gif","icon_topic_reported.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","e6059927-f5b2-5e09-9b2a-88e7a1960ee3","e6059927-f5b2-5e09-9b2a-88e7a1960ee3","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_topic_unapproved.gif","/phpBB3/styles/Relief/imageset/icon_topic_unapproved.gif","icon_topic_unapproved.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","e867349c-f287-5e6b-b3ce-4ce14beca705","e867349c-f287-5e6b-b3ce-4ce14beca705","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_user_warn.gif","/phpBB3/styles/Relief/imageset/icon_user_warn.gif","icon_user_warn.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","f70f3e71-168d-5ce5-ab7d-9dc594826307","f70f3e71-168d-5ce5-ab7d-9dc594826307","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\imageset.cfg","/phpBB3/styles/Relief/imageset/imageset.cfg","imageset.cfg",".cfg","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","1c3efe3b-6463-5441-b624-e445e9720945","1c3efe3b-6463-5441-b624-e445e9720945","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\site_logo.gif","/phpBB3/styles/Relief/imageset/site_logo.gif","site_logo.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","5f529758-562d-567c-9963-1a28a1b35e17","5f529758-562d-567c-9963-1a28a1b35e17","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\sticky_read.png","/phpBB3/styles/Relief/imageset/sticky_read.png","sticky_read.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","038a3496-f136-5bbe-a4b4-cd89f09c839b","038a3496-f136-5bbe-a4b4-cd89f09c839b","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
